YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1919   -8.1   -8.2   -5.2   -5.0    1.3    2.3    6.9    6.2    3.2    0.9   -2.6   -5.8    -8.2    -3.0     5.1     0.5   -1.38
1920  -11.2   -9.7   -9.8   -1.9    0.3    5.6    6.5    4.7    2.4   -1.0   -7.5   -7.3    -8.9    -3.8     5.6    -2.0   -2.28
1921  -10.7  -12.9  -11.1   -5.9    1.5    3.6    6.1    6.6    3.0   -1.1   -2.6   -8.8   -10.3    -5.2     5.4    -0.2   -2.57
1922  -11.3  -15.1   -6.4   -1.0    1.1    1.6    5.7    6.5    2.2    0.5   -3.6   -5.9   -11.7    -2.1     4.6    -0.3   -2.38
1923  -11.2   -4.6   -6.3   -1.9    2.8    5.8    7.3    6.0    3.2    0.3   -2.6   -5.2    -7.2    -1.8     6.4     0.3   -0.59
1924   -6.1   -6.6   -4.5   -1.6    3.4    7.2    7.5    6.8    3.3   -1.6   -3.5  -10.7    -6.0    -0.9     7.2    -0.6   -0.07
1925  -10.6  -12.3   -5.7   -5.6    0.6    3.8    6.6    5.7    4.2    0.5   -1.8   -1.9   -11.2    -3.6     5.4     1.0   -2.11
1926   -5.9   -6.8   -6.9   -2.6    3.2    7.1    8.1    6.8    3.3    1.7   -4.3   -4.4    -4.9    -2.1     7.3     0.2    0.15
1927   -6.9   -8.9   -7.7   -2.9    3.0    6.0    6.6    7.2    5.4    0.2   -2.9   -4.1    -6.7    -2.5     6.6     0.9   -0.44
1928   -7.9   -9.7   -3.1   -1.7    4.0    7.0    8.3    8.5    5.6    0.5   -2.2   -4.7    -7.2    -0.3     7.9     1.3    0.43
1929   -1.5   -4.9   -3.3    0.3    4.0    6.6    8.7    7.8    3.4   -0.6   -4.7   -8.3    -3.7     0.3     7.7    -0.6    0.93
1930  -10.0   -8.7   -2.7   -1.8    2.9    5.1    7.5    6.7    6.2    0.2   -3.9   -6.8    -9.0    -0.5     6.4     0.8   -0.57
1931   -4.5   -7.7   -9.2   -4.6    3.4    6.9    8.5    8.5    6.4   -0.3   -6.9   -7.3    -6.3    -3.5     8.0    -0.3   -0.52
1932  -10.6   -3.5   -1.0   -0.7    4.4    6.1    9.1    7.3    4.6    0.6   -4.3   -8.7    -7.1     0.9     7.5     0.3    0.39
1933  -11.1   -4.8   -6.4   -2.2    2.8    4.9    8.7    8.0    3.8    0.0   -2.8   -5.9    -8.2    -1.9     7.2     0.3   -0.65
1934   -8.6   -9.1   -8.7   -0.9    0.1    5.7    9.2    7.3    3.7   -0.1   -2.3   -4.6    -7.9    -3.2     7.4     0.4   -0.80
1935   -9.4  -10.1   -5.0   -0.3    4.8    6.8    8.4    7.7    6.0   -0.6   -4.6   -5.1    -8.0    -0.2     7.6     0.3   -0.07
1936   -3.0   -3.5   -5.0   -1.3    1.4    5.7    9.8    7.2    4.8    0.2   -2.9   -9.2    -3.9    -1.6     7.6     0.7    0.69
1937  -12.1   -9.2   -1.7   -5.9    0.4    5.1    7.0    6.4    3.9   -0.7   -1.1   -6.1   -10.2    -2.4     6.2     0.7   -1.42
1938   -9.6   -9.4   -9.2   -4.9    1.5    4.1    5.6    6.1    3.9   -2.0   -5.8   -8.8    -8.4    -4.2     5.3    -1.3   -2.15
1939   -4.6  -10.0   -7.7   -0.6    2.3    6.4    8.6    6.4    5.0    0.8   -3.7   -4.6    -7.8    -2.0     7.1     0.7   -0.49
1940   -6.1   -3.5   -4.3   -0.8    1.9    5.2    7.7    5.1    2.6   -0.1   -4.0   -4.6    -4.7    -1.1     6.0    -0.5   -0.07
1941   -3.5   -4.4   -1.9   -0.5    3.1    6.7    7.8    8.4    4.7    2.1   -3.9   -6.8    -4.2     0.2     7.6     1.0    1.17
1942   -7.3   -4.5   -5.3   -4.7    2.9    6.5    8.4    7.7    3.8   -1.4   -1.7   -4.4    -6.2    -2.4     7.5     0.2   -0.20
1943   -2.4   -9.1   -9.8   -6.0    0.4    4.1    7.0    5.8    3.4   -1.7   -3.7   -4.6    -5.3    -5.1     5.6    -0.7   -1.37
